index,Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,index,Artist,artist_start_year,artist_end_year,artist_career_length,years_since_debut
0,Hey Jack Kerouac,"10,000 Maniacs",1987,206413,4,0.616,0.511,6,-15.894,1,0.0279,0.0384,0.0,0.15,0.604,132.015,40,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,0
1,Like the Weather,"10,000 Maniacs",1987,236653,4,0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,0
2,What's the Matter Here?,"10,000 Maniacs",1987,291173,4,0.593,0.816,9,-7.293,1,0.041,0.00449,3.17e-05,0.0896,0.519,99.978,12,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,0
3,Trouble Me,"10,000 Maniacs",1989,193560,4,0.861,0.385,2,-10.057,1,0.0341,0.154,0.0,0.123,0.494,117.913,47,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,2
4,Candy Everybody Wants,"10,000 Maniacs",1992,185960,4,0.622,0.876,10,-6.31,1,0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,5
5,More Than This,"10,000 Maniacs",1992,245573,4,0.623,0.773,6,-8.8,1,0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,5
6,These Are Days,"10,000 Maniacs",1992,219893,4,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,5
7,Verdi Cries,"10,000 Maniacs",1992,260253,4,0.367,0.0256,3,-25.309,1,0.0421,0.917,7.39e-05,0.0843,0.178,106.872,34,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,5
8,Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,4,0.408,0.79,11,-8.138,0,0.103,0.26,0.00027,0.765,0.347,122.624,56,Alt. Rock,1,"10,000 Maniacs",1987,1994,7,6
9,Be Like That,3 Doors Down,2000,265906,4,0.487,0.702,7,-6.043,1,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,61,Alt. Rock,12,3 Doors Down,2000,2008,8,0
10,Duck And Run,3 Doors Down,2000,230600,4,0.524,0.919,4,-5.505,0,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,48,Alt. Rock,12,3 Doors Down,2000,2008,8,0
11,Kryptonite,3 Doors Down,2000,233933,4,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,80,Alt. Rock,12,3 Doors Down,2000,2008,8,0
12,Loser,3 Doors Down,2000,264800,4,0.493,0.88,6,-6.424,0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,61,Alt. Rock,12,3 Doors Down,2000,2008,8,0
13,One Light,3 Doors Down,2000,176346,4,0.372,0.976,11,-3.67,1,0.0625,0.00117,0.00326,0.0597,0.433,170.087,38,Alt. Rock,12,3 Doors Down,2000,2008,8,0
14,Here Without You,3 Doors Down,2003,238733,4,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,76,Alt. Rock,12,3 Doors Down,2000,2008,8,3
15,When I'm Gone,3 Doors Down,2005,260333,4,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,72,Alt. Rock,12,3 Doors Down,2000,2008,8,5
16,It's Not My Time,3 Doors Down,2008,241960,4,0.532,0.935,0,-4.798,1,0.0619,0.00133,8.37e-06,0.106,0.309,128.025,63,Alt. Rock,12,3 Doors Down,2000,2008,8,8
17,Let Me Go,3 Doors Down,2008,243053,4,0.48,0.863,1,-4.914,0,0.0385,0.0181,0.0,0.111,0.491,91.972,55,Alt. Rock,12,3 Doors Down,2000,2008,8,8
18,Man in the Box,Alice In Chains,1990,285200,4,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,77,Alt. Rock,85,Alice In Chains,1990,1996,6,0
19,Angry Chair (2022 Remaster),Alice In Chains,1992,287800,4,0.329,0.943,8,-5.742,1,0.0913,0.0406,0.0,0.0548,0.157,107.422,53,Alt. Rock,85,Alice In Chains,1990,1996,6,2
20,Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,4,0.356,0.818,6,-5.343,1,0.0335,0.0122,0.000118,0.123,0.389,97.528,66,Alt. Rock,85,Alice In Chains,1990,1996,6,2
21,Rooster (2022 Remaster),Alice In Chains,1992,374333,3,0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08,72,Alt. Rock,85,Alice In Chains,1990,1996,6,2
22,Them Bones (2022 Remaster),Alice In Chains,1992,149466,1,0.16,0.954,9,-5.179,1,0.0685,0.023,4.01e-06,0.372,0.336,165.223,70,Alt. Rock,85,Alice In Chains,1990,1996,6,2
23,Would? (2022 Remaster),Alice In Chains,1992,206773,4,0.297,0.842,6,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,75,Alt. Rock,85,Alice In Chains,1990,1996,6,2
24,I Stay Away,Alice In Chains,1994,254400,4,0.174,0.781,6,-7.066,1,0.0406,0.0452,0.00346,0.0822,0.276,81.37,62,Alt. Rock,85,Alice In Chains,1990,1996,6,4
25,No Excuses,Alice In Chains,1994,255573,4,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454,64,Alt. Rock,85,Alice In Chains,1990,1996,6,4
26,Nutshell,Alice In Chains,1994,259200,3,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,72,Alt. Rock,85,Alice In Chains,1990,1996,6,4
27,Heaven Beside You,Alice In Chains,1996,327893,4,0.551,0.724,10,-7.09,0,0.032,0.00451,0.000167,0.116,0.559,111.243,61,Alt. Rock,85,Alice In Chains,1990,1996,6,6
28,Brass Monkey,Beastie Boys,1986,157440,4,0.914,0.586,6,-8.435,0,0.33,0.00203,1.58e-06,0.0992,0.655,116.371,66,Alt. Rock,203,Beastie Boys,1986,2004,18,0
29,Fight For Your Right,Beastie Boys,1986,208653,5,0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615,69,Alt. Rock,203,Beastie Boys,1986,2004,18,0
30,No Sleep Till Brooklyn,Beastie Boys,1986,246933,4,0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022,70,Alt. Rock,203,Beastie Boys,1986,2004,18,0
31,Paul Revere,Beastie Boys,1986,220840,4,0.883,0.553,6,-13.232,0,0.944,0.0161,0.0,0.228,0.578,91.753,57,Alt. Rock,203,Beastie Boys,1986,2004,18,0
32,Hey Ladies,Beastie Boys,1989,227773,4,0.949,0.728,1,-10.653,1,0.211,0.286,0.0,0.0465,0.795,101.718,51,Alt. Rock,203,Beastie Boys,1986,2004,18,3
33,Shake Your Rump,Beastie Boys,1989,198253,4,0.888,0.699,1,-10.425,1,0.164,0.0159,0.000306,0.111,0.697,103.066,56,Alt. Rock,203,Beastie Boys,1986,2004,18,3
34,Sabotage,Beastie Boys,1994,178440,4,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,74,Alt. Rock,203,Beastie Boys,1986,2004,18,8
35,Sure Shot,Beastie Boys,1994,199666,4,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,58,Alt. Rock,203,Beastie Boys,1986,2004,18,8
36,Intergalactic,Beastie Boys,1998,210106,4,0.731,0.881,2,-6.504,1,0.281,0.0105,6.31e-05,0.0628,0.361,105.971,52,Alt. Rock,203,Beastie Boys,1986,2004,18,12
37,Loser,Beck,1994,235000,4,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,70,Alt. Rock,206,Beck,1994,2005,11,0
38,Devils Haircut,Beck,1996,195440,4,0.684,0.771,7,-4.734,1,0.0283,0.133,0.00112,0.169,0.797,123.22,53,Alt. Rock,206,Beck,1994,2005,11,2
39,Jack-Ass,Beck,1996,252280,4,0.714,0.555,2,-6.664,1,0.0287,0.163,0.0,0.0942,0.831,106.516,35,Alt. Rock,206,Beck,1994,2005,11,2
40,The New Pollution,Beck,1996,219986,4,0.671,0.769,1,-6.529,1,0.0268,0.0287,0.00988,0.32,0.89,131.788,43,Alt. Rock,206,Beck,1994,2005,11,2
41,Where It's At,Beck,1996,330946,4,0.68,0.671,2,-7.142,1,0.0536,0.169,0.0286,0.076,0.532,96.941,43,Alt. Rock,206,Beck,1994,2005,11,2
42,Hell Yes,Beck,1999,197906,4,0.794,0.72,8,-7.4,1,0.35,0.0818,0.0143,0.0846,0.781,193.958,35,Alt. Rock,206,Beck,1994,2005,11,5
43,Sexx Laws,Beck,1999,219240,4,0.646,0.914,4,-4.071,1,0.0448,0.015,1.32e-05,0.102,0.849,134.035,45,Alt. Rock,206,Beck,1994,2005,11,5
44,E-Pro,Beck,2005,202360,4,0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,57,Alt. Rock,206,Beck,1994,2005,11,11
